Currency,Rate
Argentine Peso,1451.275150
Australian Dollar,1.527139
Bahraini Dinar,0.376000
Botswana Pula,13.560649
Brazilian Real,5.370522
Bruneian Dollar,1.297536
Bulgarian Lev,1.685269
Canadian Dollar,1.400866
Chilean Peso,928.832527
Chinese Yuan Renminbi,7.070031
Colombian Peso,3811.522107
Czech Koruna,20.827285
Danish Krone,6.435427
Euro,0.861664
Hong Kong Dollar,7.787143
Hungarian Forint,328.562803
Icelandic Krona,127.872610
Indian Rupee,89.949388
Indonesian Rupiah,16620.425242
Iranian Rial,42090.724195
Israeli Shekel,3.254881
Japanese Yen,155.972480
Kazakhstani Tenge,507.799979
South Korean Won,1468.254306
Kuwaiti Dinar,0.307082
Libyan Dinar,5.458750
Malaysian Ringgit,4.132097
Mauritian Rupee,46.137599
Mexican Peso,18.320429
Nepalese Rupee,143.986482
New Zealand Dollar,1.749182
Norwegian Krone,10.153987
Omani Rial,0.384654
Pakistani Rupee,282.622448
Philippine Peso,58.605680
Polish Zloty,3.654957
Qatari Riyal,3.640000
Romanian New Leu,4.385015
Russian Ruble,77.507306
Saudi Arabian Riyal,3.750000
Singapore Dollar,1.297536
South African Rand,17.129816
Sri Lankan Rupee,308.889200
Swedish Krona,9.459293
Swiss Franc,0.804645
Taiwan New Dollar,31.418723
Thai Baht,32.017621
Trinidadian Dollar,6.781962
Turkish Lira,42.427176
Emirati Dirham,3.672500
British Pound,0.757773
