Currency,Date,BNM,CursValutar,X-Rates
100HUF,2025-12-02,,1.3349,
100JPY,2025-12-02,,2.8175,
100KRW,2025-12-02,,0.2994,
AED,2025-12-02,4.6082,1.199,
ALL,2025-12-02,2.0343,,
AMD,2025-12-02,0.4439,,
AUD,2025-12-02,11.0926,2.8732,
AZN,2025-12-02,9.9535,,
Argentine Peso,2025-12-02,,,1451.27515
Australian Dollar,2025-12-02,,,1.527139
BGN,2025-12-02,10.0622,2.6028,
BRL,2025-12-02,,0.8221,
BYN,2025-12-02,5.8353,,
Bahraini Dinar,2025-12-02,,,0.376
Botswana Pula,2025-12-02,,,13.560649
Brazilian Real,2025-12-02,,,5.370522
British Pound,2025-12-02,,,0.757773
Bruneian Dollar,2025-12-02,,,1.297536
Bulgarian Lev,2025-12-02,,,1.685269
CAD,2025-12-02,12.1107,3.1362,
CHF,2025-12-02,21.0891,5.4594,
CNY,2025-12-02,2.3935,0.6223,
CZK,2025-12-02,0.814,0.2106,
Canadian Dollar,2025-12-02,,,1.400866
Chilean Peso,2025-12-02,,,928.832527
Chinese Yuan Renminbi,2025-12-02,,,7.070031
Colombian Peso,2025-12-02,,,3811.522107
Czech Koruna,2025-12-02,,,20.827285
DKK,2025-12-02,2.635,0.6816,
Danish Krone,2025-12-02,,,6.435427
EGP,2025-12-02,,0.0924,
EUR,2025-12-02,19.6801,5.0906,
Emirati Dirham,2025-12-02,,,3.6725
Euro,2025-12-02,,,0.861664
GBP,2025-12-02,22.3966,5.8158,
GEL,2025-12-02,6.2714,,
HKD,2025-12-02,2.1732,,
HUF,2025-12-02,5.1699,,
Hong Kong Dollar,2025-12-02,,,7.787143
Hungarian Forint,2025-12-02,,,328.562803
ILS,2025-12-02,5.1851,,
INR,2025-12-02,1.8899,0.0492,
ISK,2025-12-02,1.3262,,
Icelandic Krona,2025-12-02,,,127.87261
Indian Rupee,2025-12-02,,,89.949388
Indonesian Rupiah,2025-12-02,,,16620.425242
Iranian Rial,2025-12-02,,,42090.724195
Israeli Shekel,2025-12-02,,,3.254881
JPY,2025-12-02,10.911,,
Japanese Yen,2025-12-02,,,155.97248
KGS,2025-12-02,1.944,,
KRW,2025-12-02,1.1529,,
KWD,2025-12-02,55.1495,,
KZT,2025-12-02,0.3309,,
Kazakhstani Tenge,2025-12-02,,,507.799979
Kuwaiti Dinar,2025-12-02,,,0.307082
Libyan Dinar,2025-12-02,,,5.45875
MDL,2025-12-02,,0.2585,
MKD,2025-12-02,3.1934,,
MXN,2025-12-02,,0.2401,
MYR,2025-12-02,4.0969,,
Malaysian Ringgit,2025-12-02,,,4.132097
Mauritian Rupee,2025-12-02,,,46.137599
Mexican Peso,2025-12-02,,,18.320429
NOK,2025-12-02,1.6713,0.4328,
NZD,2025-12-02,9.7087,2.5132,
Nepalese Rupee,2025-12-02,,,143.986482
New Zealand Dollar,2025-12-02,,,1.749182
Norwegian Krone,2025-12-02,,,10.153987
Omani Rial,2025-12-02,,,0.384654
PLN,2025-12-02,4.6537,1.201,
Pakistani Rupee,2025-12-02,,,282.622448
Philippine Peso,2025-12-02,,,58.60568
Polish Zloty,2025-12-02,,,3.654957
Qatari Riyal,2025-12-02,,,3.64
RON,2025-12-02,3.8664,,
RSD,2025-12-02,16.7233,0.0434,
RUB,2025-12-02,0.2178,0.0565,
Romanian New Leu,2025-12-02,,,4.385015
Russian Ruble,2025-12-02,,,77.507306
SEK,2025-12-02,1.7946,0.4634,
Saudi Arabian Riyal,2025-12-02,,,3.75
Singapore Dollar,2025-12-02,,,1.297536
South African Rand,2025-12-02,,,17.129816
South Korean Won,2025-12-02,,,1468.254306
Sri Lankan Rupee,2025-12-02,,,308.8892
Swedish Krona,2025-12-02,,,9.459293
Swiss Franc,2025-12-02,,,0.804645
TJS,2025-12-02,1.8288,,
TMT,2025-12-02,4.8348,,
TRY,2025-12-02,0.3983,0.1035,
Taiwan New Dollar,2025-12-02,,,31.418723
Thai Baht,2025-12-02,,,32.017621
Trinidadian Dollar,2025-12-02,,,6.781962
Turkish Lira,2025-12-02,,,42.427176
UAH,2025-12-02,0.3996,0.1042,
USD,2025-12-02,16.9262,4.4036,
UZS,2025-12-02,0.1421,,
XAU,2025-12-02,,590.0213,
XDR,2025-12-02,23.056,5.9822,
ZAR,2025-12-02,,0.2567,
